Instance_number,STATION,STATIONNAME,DATE,EVAP,PRCP,TOBS,AWND,Cluster
0,GHCND:USC00410337,'ARLINGTON SIX FLAGS TX US',20130101,0,44,56,0,cluster2
1,GHCND:USC00410337,'ARLINGTON SIX FLAGS TX US',20130102,0,-6,0,0,cluster2
2,GHCND:USC00410337,'ARLINGTON SIX FLAGS TX US',20130103,0,-11,0,0,cluster2
3,GHCND:USC00410337,'ARLINGTON SIX FLAGS TX US',20130104,0,44,0,0,cluster2
4,GHCND:USC00410337,'ARLINGTON SIX FLAGS TX US',20130105,0,28,0,0,cluster2
5,GHCND:USC00410337,'ARLINGTON SIX FLAGS TX US',20130106,0,6,0,0,cluster2
6,GHCND:USC00410337,'ARLINGTON SIX FLAGS TX US',20130107,0,-28,0,0,cluster2
7,GHCND:USC00410337,'ARLINGTON SIX FLAGS TX US',20130108,0,83,0,0,cluster2
8,GHCND:USC00410337,'ARLINGTON SIX FLAGS TX US',20130109,0,94,686,0,cluster2
9,GHCND:USC00410337,'ARLINGTON SIX FLAGS TX US',20130110,0,128,198,0,cluster2
10,GHCND:USC00410337,'ARLINGTON SIX FLAGS TX US',20130111,0,89,0,0,cluster2
11,GHCND:USC00410337,'ARLINGTON SIX FLAGS TX US',20130112,0,161,0,0,cluster2
12,GHCND:USC00410337,'ARLINGTON SIX FLAGS TX US',20130113,0,0,58,0,cluster2
13,GHCND:USC00410337,'ARLINGTON SIX FLAGS TX US',20130114,0,-17,0,0,cluster2
14,GHCND:USC00410337,'ARLINGTON SIX FLAGS TX US',20130115,0,-17,53,0,cluster2
15,GHCND:USC00410337,'ARLINGTON SIX FLAGS TX US',20130116,0,-33,0,0,cluster2
16,GHCND:USC00410337,'ARLINGTON SIX FLAGS TX US',20130117,0,22,0,0,cluster2
17,GHCND:USC00410337,'ARLINGTON SIX FLAGS TX US',20130118,0,-11,0,0,cluster2
18,GHCND:USC00410337,'ARLINGTON SIX FLAGS TX US',20130119,0,44,0,0,cluster2
19,GHCND:USC00410337,'ARLINGTON SIX FLAGS TX US',20130120,0,28,0,0,cluster2
20,GHCND:USC00410337,'ARLINGTON SIX FLAGS TX US',20130121,0,50,0,0,cluster2
21,GHCND:USC00410337,'ARLINGTON SIX FLAGS TX US',20130122,0,39,0,0,cluster2
22,GHCND:USC00410337,'ARLINGTON SIX FLAGS TX US',20130123,0,89,0,0,cluster2
23,GHCND:USC00410337,'ARLINGTON SIX FLAGS TX US',20130124,0,106,0,0,cluster2
24,GHCND:USC00410337,'ARLINGTON SIX FLAGS TX US',20130125,0,89,0,0,cluster2
25,GHCND:USC00410337,'ARLINGTON SIX FLAGS TX US',20130126,0,67,0,0,cluster2
26,GHCND:USC00410337,'ARLINGTON SIX FLAGS TX US',20130127,0,111,0,0,cluster2
27,GHCND:USC00410337,'ARLINGTON SIX FLAGS TX US',20130128,0,189,0,0,cluster2
28,GHCND:USC00410337,'ARLINGTON SIX FLAGS TX US',20130129,0,211,0,0,cluster2
29,GHCND:USC00410337,'ARLINGTON SIX FLAGS TX US',20130130,0,56,122,0,cluster2
30,GHCND:USC00410337,'ARLINGTON SIX FLAGS TX US',20130131,0,17,0,0,cluster2
31,GHCND:USC00410337,'ARLINGTON SIX FLAGS TX US',20130201,0,-6,0,0,cluster2
32,GHCND:USC00410337,'ARLINGTON SIX FLAGS TX US',20130202,0,72,0,0,cluster2
33,GHCND:USC00410337,'ARLINGTON SIX FLAGS TX US',20130203,0,28,0,0,cluster2
34,GHCND:USC00410337,'ARLINGTON SIX FLAGS TX US',20130204,0,128,0,0,cluster2
35,GHCND:USC00410337,'ARLINGTON SIX FLAGS TX US',20130205,0,144,13,0,cluster2
36,GHCND:USC00410337,'ARLINGTON SIX FLAGS TX US',20130206,0,144,0,0,cluster2
37,GHCND:USC00410337,'ARLINGTON SIX FLAGS TX US',20130207,0,144,5,0,cluster2
38,GHCND:USC00410337,'ARLINGTON SIX FLAGS TX US',20130208,0,61,0,0,cluster2
39,GHCND:USC00410337,'ARLINGTON SIX FLAGS TX US',20130209,0,83,0,0,cluster2
40,GHCND:USC00410337,'ARLINGTON SIX FLAGS TX US',20130210,0,111,272,0,cluster2
41,GHCND:USC00410337,'ARLINGTON SIX FLAGS TX US',20130211,0,100,0,0,cluster2
42,GHCND:USC00410337,'ARLINGTON SIX FLAGS TX US',20130212,0,72,84,0,cluster2
43,GHCND:USC00410337,'ARLINGTON SIX FLAGS TX US',20130213,0,39,28,0,cluster2
44,GHCND:USC00410337,'ARLINGTON SIX FLAGS TX US',20130214,0,28,0,0,cluster2
45,GHCND:USC00410337,'ARLINGTON SIX FLAGS TX US',20130215,0,78,0,0,cluster2
46,GHCND:USC00410337,'ARLINGTON SIX FLAGS TX US',20130216,0,-11,0,0,cluster2
47,GHCND:USC00410337,'ARLINGTON SIX FLAGS TX US',20130217,0,33,0,0,cluster2
48,GHCND:USC00410337,'ARLINGTON SIX FLAGS TX US',20130218,0,139,0,0,cluster2
49,GHCND:USC00410337,'ARLINGTON SIX FLAGS TX US',20130219,0,50,0,0,cluster2
50,GHCND:USC00410337,'ARLINGTON SIX FLAGS TX US',20130220,0,67,41,0,cluster2
51,GHCND:USC00410337,'ARLINGTON SIX FLAGS TX US',20130221,0,78,15,0,cluster2
52,GHCND:USC00410337,'ARLINGTON SIX FLAGS TX US',20130222,0,-6,46,0,cluster2
53,GHCND:USC00410337,'ARLINGTON SIX FLAGS TX US',20130223,0,0,0,0,cluster2
54,GHCND:USC00410337,'ARLINGTON SIX FLAGS TX US',20130224,0,33,0,0,cluster2
55,GHCND:USC00410337,'ARLINGTON SIX FLAGS TX US',20130225,0,111,13,0,cluster2
56,GHCND:USC00410337,'ARLINGTON SIX FLAGS TX US',20130226,0,39,0,0,cluster2
57,GHCND:USC00410337,'ARLINGTON SIX FLAGS TX US',20130227,0,28,0,0,cluster2
58,GHCND:USC00410337,'ARLINGTON SIX FLAGS TX US',20130228,0,22,0,0,cluster2
59,GHCND:USC00410337,'ARLINGTON SIX FLAGS TX US',20130301,0,22,0,0,cluster2
60,GHCND:USC00410337,'ARLINGTON SIX FLAGS TX US',20130302,0,0,0,0,cluster2
